HomeTeam,AwayTeam,Home_curr_pos,Away_curr_pos,Home_W/MP,Away_W/MP,Home_D/MP,Away_D/MP,Home_L/MP,Away_L/MP,HSoT/90,ASoT/90,HAS,AAS,HDS,ADS,past_h2h,home_past_form1,home_past_form2,home_past_form3,away_past_form1,away_past_form2,away_past_form3,B365H,B365D,B365A
Norwich,Everton,20.0,12.0,0.16666666666666666,0.3333333333333333,0.2,0.26666666666666666,0.6333333333333333,0.4,3.8666666666666667,4.6,0.8444444444444444,0.9944751381215469,1.6022099447513811,1.377777777777778,2.0,0.0,2.0,2.0,1.0,2.0,1.0,3.9,3.6,1.9
Wolves,Bournemouth,6.0,18.0,0.36666666666666664,0.23333333333333334,0.43333333333333335,0.2,0.2,0.5666666666666667,4.033333333333333,3.2666666666666666,0.9333333333333332,0.6629834254143646,0.9392265193370165,1.1555555555555557,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.55,4.0,6.0
Liverpool,Crystal Palace,1.0,9.0,0.9,0.36666666666666664,0.06666666666666667,0.3,0.03333333333333333,0.3333333333333333,5.966666666666667,3.2,1.7777777777777777,0.883977900552486,0.6629834254143646,0.8444444444444444,2.0,1.0,2.0,2.0,0.0,2.0,0.0,1.22,6.5,13.0
Burnley,Watford,11.0,16.0,0.36666666666666664,0.2,0.2,0.3333333333333333,0.43333333333333335,0.4666666666666667,3.466666666666667,3.1666666666666665,0.8888888888888888,0.6077348066298341,1.049723756906077,1.2,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.25,2.45
Southampton,Arsenal,14.0,10.0,0.36666666666666664,0.3,0.13333333333333333,0.43333333333333335,0.5,0.26666666666666666,4.666666666666667,3.8333333333333335,0.7111111111111111,0.8287292817679557,1.712707182320442,0.9333333333333332,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.6,3.5,2.62
Chelsea,Man City,4.0,2.0,0.5,0.6666666666666666,0.2,0.1,0.3,0.23333333333333334,5.8,6.933333333333334,0.9777777777777777,1.9337016574585635,0.8287292817679557,0.8444444444444444,0.0,0.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,1.8
Aston Villa,Wolves,19.0,6.0,0.22580645161290322,0.3870967741935484,0.1935483870967742,0.41935483870967744,0.5806451612903226,0.1935483870967742,4.129032258064516,3.967741935483871,0.8462643678160919,1.2388737511353314,1.4641235240690282,0.757183908045977,0.0,1.0,0.0,1.0,2.0,0.0,1.0,4.6,3.7,1.75
Watford,Southampton,16.0,14.0,0.1935483870967742,0.3548387096774194,0.3225806451612903,0.12903225806451613,0.4838709677419355,0.5161290322580645,3.193548387096774,4.612903225806452,0.757183908045977,1.2388737511353314,1.013623978201635,0.9353448275862069,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.5,3.3,2.87
Crystal Palace,Burnley,10.0,11.0,0.3548387096774194,0.3870967741935484,0.2903225806451613,0.1935483870967742,0.3548387096774194,0.41935483870967744,3.096774193548387,3.5161290322580645,0.5344827586206896,0.7883742052679382,0.7320617620345141,1.1580459770114944,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.25,3.2,3.4
Brighton,Man United,15.0,5.0,0.22580645161290322,0.41935483870967744,0.3870967741935484,0.3225806451612903,0.3870967741935484,0.25806451612903225,4.096774193548387,5.741935483870968,0.8462643678160919,0.9009990917347865,0.9009990917347865,0.8462643678160919,0.0,1.0,2.0,1.0,2.0,1.0,2.0,6.0,3.8,1.61
Arsenal,Norwich,9.0,20.0,0.3225806451612903,0.16129032258064516,0.41935483870967744,0.1935483870967742,0.25806451612903225,0.6451612903225806,3.870967741935484,3.774193548387097,1.1580459770114944,0.337874659400545,1.1262488646684832,1.1580459770114944,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.44,4.75,7.0
Bournemouth,Newcastle,18.0,13.0,0.22580645161290322,0.3225806451612903,0.1935483870967742,0.2903225806451613,0.5806451612903226,0.3870967741935484,3.161290322580645,3.4193548387096775,0.757183908045977,0.7320617620345141,1.2951861943687557,1.2916666666666667,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.4,3.1,3.2
Everton,Leicester,12.0,3.0,0.3548387096774194,0.5161290322580645,0.25806451612903225,0.22580645161290322,0.3870967741935484,0.25806451612903225,4.612903225806452,5.064516129032258,0.8462643678160919,1.6330608537693008,0.8446866485013624,0.6235632183908046,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.5,3.3,2.9
West Ham,Chelsea,17.0,4.0,0.22580645161290322,0.5161290322580645,0.1935483870967742,0.1935483870967742,0.5806451612903226,0.2903225806451613,4.258064516129032,5.935483870967742,1.0244252873563218,1.7456857402361492,1.5767484105358764,1.113505747126437,2.0,2.0,0.0,2.0,2.0,0.0,2.0,5.5,4.33,1.57
Sheffield United,Tottenham,8.0,7.0,0.3548387096774194,0.3870967741935484,0.3548387096774194,0.2903225806451613,0.2903225806451613,0.3225806451612903,3.096774193548387,4.419354838709677,0.757183908045977,1.1262488646684832,0.7320617620345141,1.113505747126437,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.2,3.4,1.95
Man City,Liverpool,2.0,1.0,0.6451612903225806,0.9032258064516129,0.0967741935483871,0.06451612903225806,0.25806451612903225,0.03225806451612903,6.774193548387097,6.0,1.8261494252873562,1.4641235240690282,0.67574931880109,0.40086206896551724,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.05,3.9,3.3
Norwich,Brighton,20.0,15.0,0.15625,0.21875,0.1875,0.375,0.65625,0.40625,3.71875,4.03125,0.7883817427385892,0.783289817232376,1.566579634464752,1.0373443983402488,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.3,3.4,2.2
Leicester,Crystal Palace,3.0,12.0,0.5,0.34375,0.21875,0.28125,0.28125,0.375,5.0,3.125,1.2448132780082988,0.8355091383812011,0.783289817232376,0.954356846473029,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.66,3.6,5.75
Man United,Bournemouth,5.0,18.0,0.4375,0.21875,0.3125,0.1875,0.25,0.59375,5.75,3.09375,1.3278008298755186,0.6266318537859008,0.6266318537859008,1.120331950207469,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.16,7.5,17.0
Wolves,Arsenal,6.0,8.0,0.40625,0.34375,0.40625,0.40625,0.1875,0.25,3.90625,4.0,0.9128630705394191,0.8877284595300262,0.8877284595300262,0.871369294605809,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.25,3.4,3.25
Chelsea,Watford,4.0,17.0,0.5,0.1875,0.1875,0.3125,0.3125,0.5,5.9375,3.09375,0.9958506224066389,0.5744125326370758,0.8355091383812011,1.1618257261410787,2.0,2.0,2.0,0.0,0.0,2.0,1.0,1.4,4.75,8.0
Burnley,Sheffield United,10.0,7.0,0.40625,0.375,0.1875,0.34375,0.40625,0.28125,3.53125,3.15625,0.871369294605809,0.6788511749347259,0.9921671018276763,0.7468879668049793,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.9,3.0,2.7
Newcastle,West Ham,13.0,16.0,0.34375,0.25,0.28125,0.1875,0.375,0.5625,3.53125,4.25,0.6639004149377593,0.6266318537859008,0.6788511749347259,1.0788381742738589,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.6,3.3,2.75
Liverpool,Aston Villa,1.0,19.0,0.875,0.21875,0.0625,0.1875,0.0625,0.59375,5.90625,4.03125,1.8257261410788381,0.8877284595300262,0.6266318537859008,1.3692946058091287,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.33,5.5,8.5
Southampton,Man City,14.0,2.0,0.375,0.65625,0.125,0.09375,0.5,0.25,4.6875,6.75,0.6639004149377593,1.8798955613577024,1.7232375979112273,0.871369294605809,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.5,6.0,1.3
Tottenham,Everton,9.0,11.0,0.375,0.375,0.28125,0.25,0.34375,0.375,4.34375,4.53125,1.2448132780082988,0.9921671018276763,0.8355091383812011,1.2863070539419086,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.1,3.5,3.4
Crystal Palace,Chelsea,14.0,4.0,0.3333333333333333,0.5151515151515151,0.2727272727272727,0.18181818181818182,0.3939393939393939,0.30303030303030304,3.0606060606060606,6.03030303030303,0.495,1.7407289002557544,0.7384910485933504,1.155,0.0,2.0,0.0,2.0,2.0,2.0,2.0,8.5,4.5,1.4
Watford,Norwich,17.0,20.0,0.18181818181818182,0.15151515151515152,0.30303030303030304,0.18181818181818182,0.5151515151515151,0.6666666666666666,3.090909090909091,3.6363636363636362,0.7425,0.3164961636828645,1.1077365728900257,1.2375,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.7,3.75,5.0
Arsenal,Leicester,7.0,3.0,0.36363636363636365,0.5151515151515151,0.3939393939393939,0.21212121212121213,0.24242424242424243,0.2727272727272727,4.03030303030303,4.96969696969697,1.2375,1.5824808184143222,1.054987212276215,0.66,0.0,0.0,2.0,0.0,2.0,2.0,1.0,2.3,3.5,3.0
